2025-05-02 15:45:28.689344 | XAUUSDm | BUY | Entry: 3258.869 | SL: 3245.5 | TP: 3285.6
2025-05-05 15:16:53.074104 | XAUUSDm | BUY | Entry: 3312.336 | SL: 3305.54 | TP: 3325.94
2025-05-05 15:21:53.082926 | XAUUSDm | BUY | Entry: 3311.659 | SL: 3304.86 | TP: 3325.26
2025-05-05 15:31:53.095053 | XAUUSDm | BUY | Entry: 3311.205 | SL: 3304.4 | TP: 3324.8
2025-05-05 16:01:53.154215 | XAUUSDm | BUY | Entry: 3311.79 | SL: 3304.99 | TP: 3325.39
2025-05-05 16:47:00.563496 | XAUUSDm | BUY | Entry: 3312.752 | SL: 3305.95 | TP: 3326.35
2025-05-05 16:52:01.277908 | XAUUSDm | BUY | Entry: 3311.696 | SL: 3304.9 | TP: 3325.3
2025-05-05 17:02:01.294072 | XAUUSDm | BUY | Entry: 3309.254 | SL: 3302.45 | TP: 3322.85
2025-05-05 18:52:00.895344 | XAUUSDm | BUY | Entry: 3321.505 | SL: 3314.22 | TP: 3336.07
2025-05-05 19:37:01.744682 | XAUUSDm | BUY | Entry: 3336.256 | SL: 3329.18 | TP: 3350.41
2025-05-05 20:48:32.002519 | XAUUSDm | BUY | Entry: 3332.113 | SL: 3324.94 | TP: 3346.46
2025-05-05 20:53:35.022313 | XAUUSDm | BUY | Entry: 3332.533 | SL: 3325.28 | TP: 3347.05
2025-05-05 22:03:38.793316 | XAUUSDm | BUY | Entry: 3336.018 | SL: 3328.64 | TP: 3350.78
2025-05-05 22:18:39.078342 | XAUUSDm | BUY | Entry: 3330.525 | SL: 3323.72 | TP: 3344.12
2025-05-05 22:33:41.841625 | XAUUSDm | BUY | Entry: 3329.213 | SL: 3322.41 | TP: 3342.81
2025-05-05 22:48:42.415016 | XAUUSDm | BUY | Entry: 3331.404 | SL: 3324.6 | TP: 3345.0
2025-05-05 22:53:42.711317 | XAUUSDm | BUY | Entry: 3331.23 | SL: 3324.43 | TP: 3344.83
2025-05-05 22:58:14.395016 | XAUUSDm | BUY | Entry: 3331.357 | SL: 3324.56 | TP: 3344.96
2025-05-05 23:00:01.638904 | XAUUSDm | BUY | Entry: 3330.73 | SL: 3327.25 | TP: 3337.69
2025-05-05 23:30:06.137330 | XAUUSDm | BUY | Entry: 3332.229 | SL: 3325.43 | TP: 3345.83
2025-05-05 23:40:08.954538 | XAUUSDm | BUY | Entry: 3332.481 | SL: 3325.68 | TP: 3346.08
2025-05-05 23:45:11.758974 | XAUUSDm | BUY | Entry: 3333.06 | SL: 3327.43 | TP: 3344.33
2025-05-06 00:30:18.146935 | XAUUSDm | BUY | Entry: 3325.235 | SL: 3323.68 | TP: 3328.35
2025-05-06 00:50:20.723503 | XAUUSDm | BUY | Entry: 3327.289 | SL: 3320.49 | TP: 3340.89
2025-05-06 00:55:23.267854 | XAUUSDm | BUY | Entry: 3326.983 | SL: 3320.18 | TP: 3340.58
2025-05-06 09:05:19.833493 | XAUUSDm | BUY | Entry: 3377.325 | SL: 3370.52 | TP: 3390.92
2025-05-06 09:15:23.358120 | XAUUSDm | BUY | Entry: 3376.266 | SL: 3369.47 | TP: 3389.87
2025-05-06 09:30:26.348294 | XAUUSDm | BUY | Entry: 3374.4 | SL: 3367.6 | TP: 3388.0
2025-05-06 11:00:31.714796 | XAUUSDm | BUY | Entry: 3383.908 | SL: 3377.11 | TP: 3397.51
2025-05-06 11:15:34.669888 | XAUUSDm | BUY | Entry: 3381.445 | SL: 3374.02 | TP: 3396.3
2025-05-06 11:30:38.629450 | XAUUSDm | BUY | Entry: 3380.982 | SL: 3373.89 | TP: 3395.17
2025-05-06 12:00:41.279792 | XAUUSDm | BUY | Entry: 3378.862 | SL: 3373.76 | TP: 3389.07
2025-05-06 12:20:43.847003 | XAUUSDm | BUY | Entry: 3378.025 | SL: 3371.22 | TP: 3391.62
2025-05-06 12:30:46.452380 | XAUUSDm | BUY | Entry: 3375.813 | SL: 3369.01 | TP: 3389.41
2025-05-06 13:15:50.157274 | XAUUSDm | BUY | Entry: 3393.864 | SL: 3387.06 | TP: 3407.46
2025-05-06 13:55:53.761697 | XAUUSDm | BUY | Entry: 3392.708 | SL: 3385.91 | TP: 3406.31
2025-05-06 14:30:57.109007 | XAUUSDm | BUY | Entry: 3384.56 | SL: 3377.76 | TP: 3398.16
