2025-07-01 17:21:13.470281 | BTCUSDm | BUY | Entry: 106341.17 | TP: 0.0 | SL: None | Lot: 0.07
2025-07-01 17:21:37.848187 | BTCUSDm | SELL | Entry: 106281.17 | TP: 0.0 | SL: None | Lot: 0.16
2025-07-01 17:24:48.094338 | BTCUSDm | BUY | Entry: 106380.27 | TP: 106500.27 | SL: None | Lot: 0.01
2025-07-01 17:24:48.399338 | BTCUSDm | BUY | Entry: 106420.39 | TP: 106500.27 | SL: None | Lot: 0.01
2025-07-01 17:24:49.719968 | BTCUSDm | SELL | Entry: 106360.39 | TP: 0.0 | SL: None | Lot: 0.03
2025-07-01 17:26:32.127138 | BTCUSDm | BUY | Entry: 106420.39 | TP: 0.0 | SL: None | Lot: 0.07
2025-07-01 17:31:00.131918 | BTCUSDm | SELL | Entry: 106287.55 | TP: 106167.55 | SL: None | Lot: 0.01
2025-07-01 17:31:00.442923 | BTCUSDm | SELL | Entry: 106287.24 | TP: 106167.55 | SL: None | Lot: 0.01
2025-07-01 17:31:01.749116 | BTCUSDm | BUY | Entry: 106347.24 | TP: 0.0 | SL: None | Lot: 0.03
2025-07-01 17:40:00.378493 | BTCUSDm | BUY | Entry: 106279.34 | TP: 106399.34 | SL: None | Lot: 0.01
2025-07-01 17:40:00.693494 | BTCUSDm | BUY | Entry: 106303.12 | TP: 106399.34 | SL: None | Lot: 0.01
2025-07-01 17:40:02.042744 | BTCUSDm | SELL | Entry: 106243.12 | TP: 0.0 | SL: None | Lot: 0.03
2025-07-01 17:41:35.290125 | BTCUSDm | BUY | Entry: 106325.2 | TP: 106445.2 | SL: None | Lot: 0.01
2025-07-01 17:41:35.617132 | BTCUSDm | BUY | Entry: 106409.12 | TP: 106445.2 | SL: None | Lot: 0.01
2025-07-01 17:41:36.981026 | BTCUSDm | SELL | Entry: 106349.12 | TP: 0.0 | SL: None | Lot: 0.03
2025-07-01 17:42:17.657353 | BTCUSDm | BUY | Entry: 106373.35 | TP: 106493.35 | SL: None | Lot: 0.01
2025-07-01 17:42:17.960353 | BTCUSDm | BUY | Entry: 106367.47 | TP: 106493.35 | SL: None | Lot: 0.01
2025-07-01 17:42:19.273657 | BTCUSDm | SELL | Entry: 106307.47 | TP: 0.0 | SL: None | Lot: 0.03
2025-07-01 17:46:36.534971 | BTCUSDm | BUY | Entry: 106363.76 | TP: 106483.76 | SL: None | Lot: 0.01
2025-07-01 17:46:36.840974 | BTCUSDm | BUY | Entry: 106320.38 | TP: 106483.76 | SL: None | Lot: 0.01
2025-07-01 17:46:38.151204 | BTCUSDm | SELL | Entry: 106260.38 | TP: 0.0 | SL: None | Lot: 0.03
2025-07-01 17:54:00.137904 | BTCUSDm | BUY | Entry: 106355.08 | TP: 106475.08 | SL: None | Lot: 0.01
2025-07-01 17:54:00.446831 | BTCUSDm | BUY | Entry: 106376.67 | TP: 106475.08 | SL: None | Lot: 0.01
2025-07-01 17:54:01.797699 | BTCUSDm | SELL | Entry: 106316.67 | TP: 0.0 | SL: None | Lot: 0.03
2025-07-01 17:56:00.569673 | BTCUSDm | SELL | Entry: 106289.84 | TP: 106169.84 | SL: None | Lot: 0.01
2025-07-01 17:56:00.888675 | BTCUSDm | SELL | Entry: 106289.91 | TP: 106169.84 | SL: None | Lot: 0.01
2025-07-01 17:56:02.208299 | BTCUSDm | BUY | Entry: 106349.91 | TP: 0.0 | SL: None | Lot: 0.03
2025-07-01 17:58:06.110212 | BTCUSDm | BUY | Entry: 106318.11 | TP: 106438.11 | SL: None | Lot: 0.01
2025-07-01 17:58:06.506225 | BTCUSDm | BUY | Entry: 106373.4 | TP: 106438.11 | SL: None | Lot: 0.01
2025-07-01 17:58:07.829215 | BTCUSDm | SELL | Entry: 106313.4 | TP: 0.0 | SL: None | Lot: 0.03
2025-07-01 18:05:42.007976 | BTCUSDm | SELL | Entry: 106322.44 | TP: 106202.44 | SL: None | Lot: 0.01
2025-07-01 18:05:42.364438 | BTCUSDm | SELL | Entry: 106313.66 | TP: 106202.44 | SL: None | Lot: 0.01
2025-07-01 18:05:43.696314 | BTCUSDm | BUY | Entry: 106373.66 | TP: 0.0 | SL: None | Lot: 0.03
2025-07-01 18:07:00.405057 | BTCUSDm | BUY | Entry: 106332.45 | TP: 106452.45 | SL: None | Lot: 0.01
2025-07-01 18:07:00.732052 | BTCUSDm | BUY | Entry: 106355.73 | TP: 106452.45 | SL: None | Lot: 0.01
2025-07-01 18:07:02.048040 | BTCUSDm | SELL | Entry: 106295.73 | TP: 0.0 | SL: None | Lot: 0.03
2025-07-01 18:07:41.750716 | BTCUSDm | BUY | Entry: 106332.45 | TP: 106452.45 | SL: None | Lot: 0.01
2025-07-01 18:07:42.080667 | BTCUSDm | BUY | Entry: 106334.67 | TP: 106452.45 | SL: None | Lot: 0.01
2025-07-01 18:07:43.394785 | BTCUSDm | SELL | Entry: 106274.67 | TP: 0.0 | SL: None | Lot: 0.03
2025-07-01 18:09:48.139543 | BTCUSDm | SELL | Entry: 106314.32 | TP: 106194.32 | SL: None | Lot: 0.01
2025-07-01 18:09:48.458062 | BTCUSDm | SELL | Entry: 106260.95 | TP: 106194.32 | SL: None | Lot: 0.01
2025-07-01 18:09:49.795965 | BTCUSDm | BUY | Entry: 106320.95 | TP: 0.0 | SL: None | Lot: 0.03
2025-07-01 18:10:06.444638 | BTCUSDm | SELL | Entry: 106299.21 | TP: 106179.21 | SL: None | Lot: 0.01
2025-07-01 18:10:06.757725 | BTCUSDm | SELL | Entry: 106309.4 | TP: 106179.21 | SL: None | Lot: 0.01
2025-07-01 18:10:08.106649 | BTCUSDm | BUY | Entry: 106369.4 | TP: 0.0 | SL: None | Lot: 0.03
2025-07-01 18:17:59.674071 | BTCUSDm | SELL | Entry: 106232.91 | TP: 106112.91 | SL: None | Lot: 0.01
2025-07-01 18:18:00.068069 | BTCUSDm | SELL | Entry: 106155.33 | TP: 106112.91 | SL: None | Lot: 0.01
2025-07-01 18:18:01.399075 | BTCUSDm | BUY | Entry: 106215.33 | TP: 0.0 | SL: None | Lot: 0.03
2025-07-01 18:21:41.719251 | BTCUSDm | SELL | Entry: 106095.89 | TP: 105975.89 | SL: None | Lot: 0.01
2025-07-01 18:21:42.039248 | BTCUSDm | SELL | Entry: 106087.01 | TP: 105975.89 | SL: None | Lot: 0.01
2025-07-01 18:21:43.513334 | BTCUSDm | BUY | Entry: 106147.01 | TP: 0.0 | SL: None | Lot: 0.03
2025-07-01 18:23:25.548211 | BTCUSDm | SELL | Entry: 106071.01 | TP: 105921.01 | SL: None | Lot: 0.01
2025-07-01 18:23:25.991208 | BTCUSDm | SELL | Entry: 106056.69 | TP: 105921.01 | SL: None | Lot: 0.01
2025-07-01 18:23:27.299071 | BTCUSDm | BUY | Entry: 106116.69 | TP: 0.0 | SL: None | Lot: 0.03
2025-07-01 18:53:28.233635 | BTCUSDm | SELL | Entry: 105921.05 | TP: 105771.05 | SL: None | Lot: 0.01
2025-07-01 18:53:28.537633 | BTCUSDm | SELL | Entry: 105889.81 | TP: 105771.05 | SL: None | Lot: 0.01
2025-07-01 18:53:29.875636 | BTCUSDm | BUY | Entry: 105949.81 | TP: 0.0 | SL: None | Lot: 0.03
2025-07-01 18:54:41.547804 | BTCUSDm | SELL | Entry: 105886.33 | TP: 105736.33 | SL: None | Lot: 0.01
2025-07-01 18:54:42.040811 | BTCUSDm | SELL | Entry: 105945.34 | TP: 105736.33 | SL: None | Lot: 0.01
2025-07-01 18:54:43.352066 | BTCUSDm | BUY | Entry: 106005.34 | TP: 0.0 | SL: None | Lot: 0.03
2025-07-01 18:56:00.831876 | BTCUSDm | BUY | Entry: 105982.26 | TP: 106102.26 | SL: None | Lot: 0.01
2025-07-01 18:56:01.160907 | BTCUSDm | BUY | Entry: 105999.68 | TP: 106102.26 | SL: None | Lot: 0.01
2025-07-01 18:56:02.469396 | BTCUSDm | SELL | Entry: 105939.68 | TP: 0.0 | SL: None | Lot: 0.03
2025-07-01 18:56:23.136583 | BTCUSDm | BUY | Entry: 105999.68 | TP: 0.0 | SL: None | Lot: 0.07
2025-07-01 18:59:05.730582 | BTCUSDm | SELL | Entry: 105802.21 | TP: 105682.21 | SL: None | Lot: 0.01
2025-07-01 18:59:06.063381 | BTCUSDm | SELL | Entry: 105803.07 | TP: 105682.21 | SL: None | Lot: 0.01
2025-07-01 18:59:07.734383 | BTCUSDm | BUY | Entry: 105863.07 | TP: 0.0 | SL: None | Lot: 0.03
2025-07-01 18:59:43.371150 | BTCUSDm | SELL | Entry: 105802.21 | TP: 105682.21 | SL: None | Lot: 0.01
2025-07-01 18:59:43.764192 | BTCUSDm | SELL | Entry: 105853.17 | TP: 105682.21 | SL: None | Lot: 0.01
2025-07-01 18:59:45.077923 | BTCUSDm | BUY | Entry: 105913.17 | TP: 0.0 | SL: None | Lot: 0.03
2025-07-01 19:02:42.286063 | BTCUSDm | SELL | Entry: 105670.23 | TP: 105550.23 | SL: None | Lot: 0.01
2025-07-01 19:02:42.818052 | BTCUSDm | SELL | Entry: 105620.17 | TP: 105550.23 | SL: None | Lot: 0.01
2025-07-01 19:02:44.134552 | BTCUSDm | BUY | Entry: 105680.17 | TP: 0.0 | SL: None | Lot: 0.03
2025-07-01 19:03:18.789767 | BTCUSDm | SELL | Entry: 105620.41 | TP: 105500.41 | SL: None | Lot: 0.01
2025-07-01 19:03:19.327208 | BTCUSDm | SELL | Entry: 105611.98 | TP: 105500.41 | SL: None | Lot: 0.01
2025-07-01 19:03:20.653183 | BTCUSDm | BUY | Entry: 105671.98 | TP: 0.0 | SL: None | Lot: 0.03
2025-07-01 19:03:55.296837 | BTCUSDm | SELL | Entry: 105620.41 | TP: 105500.41 | SL: None | Lot: 0.01
2025-07-01 19:03:55.648866 | BTCUSDm | SELL | Entry: 105661.0 | TP: 105500.41 | SL: None | Lot: 0.01
2025-07-01 19:03:56.972885 | BTCUSDm | BUY | Entry: 105721.0 | TP: 0.0 | SL: None | Lot: 0.03
2025-07-01 19:07:01.000952 | BTCUSDm | SELL | Entry: 105627.96 | TP: 105507.96 | SL: None | Lot: 0.01
2025-07-01 19:07:01.330989 | BTCUSDm | SELL | Entry: 105624.91 | TP: 105507.96 | SL: None | Lot: 0.01
2025-07-01 19:07:04.144836 | BTCUSDm | BUY | Entry: 105684.91 | TP: 0.0 | SL: None | Lot: 0.03
