2025-04-22 21:57:38.566976 | XAUUSDm | BUY | Entry: 3378.59 | SL: 3366.72 | TP: 3437.95
2025-04-22 21:58:24.664733 | XAUUSDm | BUY | Entry: 3378.59 | SL: 3366.72 | TP: 3437.95
2025-04-22 22:05:49.844322 | XAUUSDm | BUY | Entry: 3378.59 | SL: 3366.72 | TP: 3437.95
2025-04-22 22:06:35.095780 | XAUUSDm | SELL | Entry: 3327.431 | SL: 3345.71 | TP: 3236.03
2025-04-22 22:11:28.684131 | XAUUSDm | SELL | Entry: 3327.431 | SL: 3345.71 | TP: 3236.03
2025-04-22 22:16:16.237504 | XAUUSDm | SELL | Entry: 3327.431 | SL: 3345.71 | TP: 3236.03
2025-04-22 22:18:36.668631 | XAUUSDm | SELL | Entry: 3327.431 | SL: 3345.71 | TP: 3236.03
2025-04-22 22:19:27.844477 | XAUUSDm | SELL | Entry: 3327.431 | SL: 3345.71 | TP: 3236.03
2025-04-22 22:23:43.381865 | XAUUSDm | SELL | Entry: 3327.431 | SL: 3345.71 | TP: 3236.03
2025-04-22 22:25:10.501043 | XAUUSDm | SELL | Entry: 3327.431 | SL: 3345.71 | TP: 3236.03
2025-04-22 22:35:06.405951 | XAUUSDm | SELL | Entry: 3325.792 | SL: 3345.28 | TP: 3228.35
2025-04-22 22:40:08.956747 | XAUUSDm | SELL | Entry: 3330.008 | SL: 3349.93 | TP: 3230.41
2025-04-22 22:45:08.962955 | XAUUSDm | BUY | Entry: 3333.653 | SL: 3315.83 | TP: 3422.78
2025-04-22 22:52:42.468983 | XAUUSDm | BUY | Entry: 3324.94 | SL: 3315.83 | TP: 3370.5
2025-04-22 22:57:45.027411 | XAUUSDm | BUY | Entry: 3328.175 | SL: 3315.83 | TP: 3389.91
2025-04-22 23:07:45.543535 | XAUUSDm | BUY | Entry: 3336.203 | SL: 3316.17 | TP: 3436.35
2025-04-22 23:12:45.902448 | XAUUSDm | BUY | Entry: 3339.753 | SL: 3319.38 | TP: 3441.61
2025-04-22 23:17:45.908893 | XAUUSDm | BUY | Entry: 3343.412 | SL: 3323.63 | TP: 3442.34
2025-04-22 23:22:45.915874 | XAUUSDm | BUY | Entry: 3343.33 | SL: 3322.97 | TP: 3445.11
2025-04-22 23:27:45.922471 | XAUUSDm | BUY | Entry: 3342.842 | SL: 3322.38 | TP: 3445.15
2025-04-22 23:37:45.934612 | XAUUSDm | SELL | Entry: 3334.812 | SL: 3355.89 | TP: 3229.45
2025-04-22 23:42:48.454589 | XAUUSDm | SELL | Entry: 3339.874 | SL: 3360.95 | TP: 3234.51
2025-04-22 23:57:48.470972 | XAUUSDm | SELL | Entry: 3336.031 | SL: 3357.11 | TP: 3230.64
2025-04-23 00:12:48.489159 | XAUUSDm | BUY | Entry: 3340.597 | SL: 3319.88 | TP: 3444.18
2025-04-23 00:17:51.036319 | XAUUSDm | BUY | Entry: 3342.807 | SL: 3322.52 | TP: 3444.23
2025-04-23 00:22:51.311415 | XAUUSDm | BUY | Entry: 3340.061 | SL: 3319.51 | TP: 3442.8
2025-04-23 00:27:51.317805 | XAUUSDm | BUY | Entry: 3347.385 | SL: 3326.46 | TP: 3452.03
2025-04-23 00:32:51.576986 | XAUUSDm | BUY | Entry: 3355.252 | SL: 3334.23 | TP: 3460.34
2025-04-23 00:37:51.842530 | XAUUSDm | BUY | Entry: 3353.484 | SL: 3332.21 | TP: 3459.83
2025-04-23 00:42:52.137660 | XAUUSDm | BUY | Entry: 3355.594 | SL: 3334.32 | TP: 3461.96
2025-04-23 00:47:52.144330 | XAUUSDm | BUY | Entry: 3360.684 | SL: 3339.1 | TP: 3468.62
2025-04-23 00:52:52.150656 | XAUUSDm | BUY | Entry: 3362.952 | SL: 3340.95 | TP: 3472.96
2025-04-23 00:58:00.031172 | XAUUSDm | BUY | Entry: 3368.746 | SL: 3346.18 | TP: 3481.59
2025-04-23 01:03:00.295431 | XAUUSDm | BUY | Entry: 3372.0 | SL: 3348.6 | TP: 3489.0
2025-04-23 01:08:00.301683 | XAUUSDm | BUY | Entry: 3367.706 | SL: 3343.72 | TP: 3487.62
2025-04-23 01:13:00.308176 | XAUUSDm | BUY | Entry: 3371.372 | SL: 3347.19 | TP: 3492.29
2025-04-23 01:33:00.605973 | XAUUSDm | SELL | Entry: 3366.062 | SL: 3380.7 | TP: 3292.86
